# r_minor                R                      currdens               B_tor                  B_theta                Psi_N                  
# time step #000000
  3.592159095208955E-01  1.000745119110015E+01  7.661770689173970E+04  9.999026802655959E-01  1.921167725379593E-02  1.794465388815065E-01
  3.602619750907833E-01  1.000739240243595E+01  7.652539823437753E+04  9.999123344895956E-01  1.925683585534325E-02  1.804434505606583E-01
  3.613056483161696E-01  1.000733358555441E+01  7.643308287698988E+04  9.999219941440756E-01  1.930180184112058E-02  1.814404199575853E-01
  3.623468958576060E-01  1.000727475281342E+01  7.634076539601416E+04  9.999316577746529E-01  1.934657438843629E-02  1.824373971686929E-01
  3.633856793657299E-01  1.000721587744361E+01  7.624845083881787E+04  9.999413278870092E-01  1.939115265182372E-02  1.834343291115267E-01
  3.644220630076743E-01  1.000715690858129E+01  7.615613512803847E+04  9.999510094755332E-01  1.943554025422129E-02  1.844312619317198E-01
  3.654561271405186E-01  1.000709784988521E+01  7.606382079538428E+04  9.999607021204305E-01  1.947973730265610E-02  1.854281681541725E-01
  3.664878221630877E-01  1.000703871774844E+01  7.597151102414979E+04  9.999704041235592E-01  1.952374293605942E-02  1.864250127192148E-01
  3.675173108194809E-01  1.000697961934699E+01  7.587918931395284E+04  9.999801058032490E-01  1.956756573586066E-02  1.874219685533719E-01
  3.685444896547325E-01  1.000692050557434E+01  7.578686642675055E+04  9.999898114396084E-01  1.961120217324492E-02  1.884189219843345E-01
  3.695693694487304E-01  1.000686133107223E+01  7.569454289328886E+04  9.999995254743319E-01  1.965465355002999E-02  1.894158693180497E-01
  3.705920644191721E-01  1.000680211398366E+01  7.560220990266073E+04  1.000009246320377E+00  1.969792520856349E-02  1.904129044924963E-01
  3.716123703019341E-01  1.000674286229638E+01  7.550988883726914E+04  1.000018972354156E+00  1.974100848897580E-02  1.914097969480681E-01
  3.726304694568198E-01  1.000668337512453E+01  7.541757441476556E+04  1.000028723728352E+00  1.978390808130328E-02  1.924066123808517E-01
  3.736464519937591E-01  1.000662397548862E+01  7.532525054800275E+04  1.000038469285937E+00  1.982663129229259E-02  1.934035097642522E-01
  3.746602974890560E-01  1.000656455148771E+01  7.523292041908132E+04  1.000048219920533E+00  1.986917813746876E-02  1.944004598368415E-01
